
2024/10/19 (10:43:58) | ===> btop++ v.1.4.0
2024/10/19 (10:43:58) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/19 (10:48:57) | INFO: Logger set to INFO

2024/10/19 (11:26:11) | ===> btop++ v.1.4.0
2024/10/19 (11:26:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (13:09:15) | ===> btop++ v.1.4.0
2024/10/19 (13:09:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (13:45:43) | ===> btop++ v.1.4.0
2024/10/19 (13:45:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (00:59:20) | ===> btop++ v.1.4.0
2024/10/20 (00:59:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (01:09:13) | ===> btop++ v.1.4.0
2024/10/20 (01:09:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (01:15:58) | ===> btop++ v.1.4.0
2024/10/20 (01:15:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (07:48:47) | ===> btop++ v.1.4.0
2024/10/20 (07:48:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (09:54:54) | ===> btop++ v.1.4.0
2024/10/20 (09:54:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (11:55:15) | ===> btop++ v.1.4.0
2024/10/20 (11:55:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:02:07) | ===> btop++ v.1.4.0
2024/10/20 (12:02:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:02:29) | ===> btop++ v.1.4.0
2024/10/20 (12:02:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:05:31) | ===> btop++ v.1.4.0
2024/10/20 (12:05:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:06:23) | ===> btop++ v.1.4.0
2024/10/20 (12:06:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:06:33) | ===> btop++ v.1.4.0
2024/10/20 (12:06:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:07:20) | ===> btop++ v.1.4.0
2024/10/20 (12:07:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:07:45) | ===> btop++ v.1.4.0
2024/10/20 (12:07:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:08:16) | ===> btop++ v.1.4.0
2024/10/20 (12:08:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:08:33) | ===> btop++ v.1.4.0
2024/10/20 (12:08:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:08:46) | ===> btop++ v.1.4.0
2024/10/20 (12:08:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:09:06) | ===> btop++ v.1.4.0
2024/10/20 (12:09:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:11:06) | ===> btop++ v.1.4.0
2024/10/20 (12:11:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (13:53:34) | ===> btop++ v.1.4.0
2024/10/21 (13:53:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (11:15:48) | ===> btop++ v.1.4.0
2024/10/22 (11:15:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (22:37:52) | ===> btop++ v.1.4.0
2024/10/22 (22:37:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (11:06:22) | ===> btop++ v.1.4.0
2024/10/29 (11:06:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (08:13:38) | ===> btop++ v.1.4.0
2024/11/07 (08:13:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (08:43:33) | ===> btop++ v.1.4.0
2024/11/07 (08:43:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (10:17:21) | ===> btop++ v.1.4.0
2024/11/07 (10:17:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (10:33:08) | ===> btop++ v.1.4.0
2024/11/07 (10:33:08) | WARNING: Intel GPU: Failed to initialize PMU
