2024-11-09 13:32:16.841 User Agent: [Hub 3.9.1], Protocol version: [1.15.8], Session Id: [35c3c8f08f1c42c5943edcdbfaf90a40], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2024-11-09 13:32:17.631 User Agent: [Hub 3.9.1], Protocol version: [1.15.8], Session Id: [35c3c8f08f1c42c5943edcdbfaf90a40], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2024-11-09 13:32:31.425 User Agent: [Hub 3.9.1], Protocol version: [1.15.8], Session Id: [35c3c8f08f1c42c5943edcdbfaf90a40], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2024-11-09 13:32:32.081 User Agent: [Hub 3.9.1], Protocol version: [1.15.8], Session Id: [35c3c8f08f1c42c5943edcdbfaf90a40], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:33:16.726 User Agent: [Hub 3.9.1], Protocol version: [1.15.8], Session Id: [35c3c8f08f1c42c5943edcdbfaf90a40], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:38:36.129 User Agent: [Hub 3.9.1], Protocol version: [1.15.8], Session Id: [35c3c8f08f1c42c5943edcdbfaf90a40], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:43:08.027 User Agent: [Hub 3.9.1], Protocol version: [1.15.8], Session Id: [35c3c8f08f1c42c5943edcdbfaf90a40], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:43:08.045 User Agent: [Hub 3.9.1], Protocol version: [1.15.8], Session Id: [35c3c8f08f1c42c5943edcdbfaf90a40], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:43:09.568 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2024-11-09 13:43:09.568 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:43:11.724 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:43:11.724 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.collab-proxy], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.feature.2d], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.ide.rider], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.ide.visualstudio], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.inputsystem], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.multiplayer.center], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.test-framework], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.timeline], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.534 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.ugui], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.visualscripting], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.accessibility], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.ai], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.androidjni], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.animation], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.assetbundle], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.audio], Result: [granted: True, group: (null)]
